init_domain,#TotalPALs,(#)InitPALsIncorrect,(#)PAsDropped,(#)PALsDropped_noObs,(#)FinalAvgPALsIncorrect,#TotalActions,(#)InitActionsIncorrect,(#)ActionsObserved,(#)CompleteActionsDropped,(#)FinalActionsIncorrect,InitAccuracy,FinalAccuracy,#UniqueQueriesAIA,Final#UniqueQueries,#ValidModels
domain_1_0,52,"(1) {('put-down', 'handempty', <Location.PRECOND: 1>)}","(1) {('put-down', 'handempty', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,(1) {'put-down'},"(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(0) set(),(0.0) set(),0.9807692307692307,1.0,48,1,1
domain_1_1,52,"(1) {('pick-up', 'holding|0', <Location.EFFECTS: 2>)}","(1) {('pick-up', 'holding|0', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,(1) {'pick-up'},"(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(0) set(),(0.0) set(),0.9807692307692307,1.0,48,1,1
domain_1_2,52,"(1) {('stack', 'handempty', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(1.0) {('stack', 'handempty', <Location.PRECOND: 1>)}",4,(1) {'stack'},"(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(0) set(),"(1.0) {('stack', 'handempty', <Location.PRECOND: 1>)}",0.9807692307692307,0.9807692307692307,48,0,1
domain_1_3,52,"(1) {('put-down', 'clear|0', <Location.EFFECTS: 2>)}","(1) {('put-down', 'clear|0', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,(1) {'put-down'},"(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(0) set(),(0.0) set(),0.9807692307692307,1.0,48,1,1
domain_1_4,52,"(1) {('unstack', 'clear|1', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(1.0) {('unstack', 'clear|1', <Location.PRECOND: 1>)}",4,(1) {'unstack'},"(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(0) set(),"(1.0) {('unstack', 'clear|1', <Location.PRECOND: 1>)}",0.9807692307692307,0.9807692307692307,48,0,1
domain_1_5,52,"(1) {('unstack', 'clear|1', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(1.0) {('unstack', 'clear|1', <Location.PRECOND: 1>)}",4,(1) {'unstack'},"(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(0) set(),"(1.0) {('unstack', 'clear|1', <Location.PRECOND: 1>)}",0.9807692307692307,0.9807692307692307,48,0,1
domain_3_0,52,"(3) {('unstack', 'ontable|0', <Location.PRECOND: 1>), ('stack', 'on|1|0', <Location.PRECOND: 1>), ('put-down', 'clear|0', <Location.EFFECTS: 2>)}","(1) {('put-down', 'clear|0', <Location.PRECOND: 1>)}",(0) set(),"(2.0) {('unstack', 'ontable|0', <Location.PRECOND: 1>), ('stack', 'on|1|0', <Location.PRECOND: 1>)}",4,"(3) {'unstack', 'stack', 'put-down'}","(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(0) set(),"(2.0) {('unstack', 'ontable|0', <Location.PRECOND: 1>), ('stack', 'on|1|0', <Location.PRECOND: 1>)}",0.9423076923076923,0.9615384615384616,48,1,1
domain_3_1,52,"(3) {('unstack', 'handempty', <Location.EFFECTS: 2>), ('stack', 'on|1|0', <Location.EFFECTS: 2>), ('pick-up', 'ontable|0', <Location.PRECOND: 1>)}","(13) {('unstack', 'holding|1', <Location.EFFECTS: 2>), ('unstack', 'ontable|0', <Location.EFFECTS: 2>), ('unstack', 'clear|0', <Location.PRECOND: 1>), ('unstack', 'clear|1', <Location.PRECOND: 1>), ('unstack', 'ontable|1', <Location.EFFECTS: 2>), ('unstack', 'ontable|0', <Location.PRECOND: 1>), ('unstack', 'on|0|1', <Location.PRECOND: 1>), ('unstack', 'holding|1', <Location.PRECOND: 1>), ('unstack', 'on|1|0', <Location.EFFECTS: 2>), ('unstack', 'ontable|1', <Location.PRECOND: 1>), ('unstack', 'on|1|0', <Location.PRECOND: 1>), ('unstack', 'holding|0', <Location.PRECOND: 1>), ('unstack', 'handempty', <Location.PRECOND: 1>)}",(0) set(),"(2.0) {('stack', 'on|1|0', <Location.EFFECTS: 2>), ('pick-up', 'ontable|0', <Location.PRECOND: 1>)}",4,"(3) {'unstack', 'stack', 'pick-up'}","(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(1) {'unstack'},"(2.0) {('stack', 'on|1|0', <Location.EFFECTS: 2>), ('pick-up', 'ontable|0', <Location.PRECOND: 1>)}",0.9423076923076923,0.9615384615384616,48,9,1
domain_3_2,52,"(3) {('stack', 'on|0|1', <Location.PRECOND: 1>), ('unstack', 'clear|0', <Location.PRECOND: 1>), ('unstack', 'clear|1', <Location.PRECOND: 1>)}","(2) {('stack', 'on|0|1', <Location.PRECOND: 1>), ('unstack', 'clear|1', <Location.PRECOND: 1>)}",(0) set(),"(1.0) {('unstack', 'clear|0', <Location.PRECOND: 1>)}",4,"(2) {'stack', 'unstack'}","(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(0) set(),"(1.0) {('unstack', 'clear|0', <Location.PRECOND: 1>)}",0.9423076923076923,0.9807692307692307,48,2,1
domain_3_3,52,"(3) {('stack', 'holding|0', <Location.PRECOND: 1>), ('put-down', 'clear|0', <Location.PRECOND: 1>), ('pick-up', 'holding|0', <Location.EFFECTS: 2>)}","(14) {('stack', 'holding|1', <Location.EFFECTS: 2>), ('stack', 'ontable|0', <Location.EFFECTS: 2>), ('stack', 'clear|0', <Location.PRECOND: 1>), ('stack', 'ontable|1', <Location.EFFECTS: 2>), ('stack', 'ontable|0', <Location.PRECOND: 1>), ('stack', 'on|0|1', <Location.PRECOND: 1>), ('stack', 'on|1|0', <Location.EFFECTS: 2>), ('stack', 'holding|0', <Location.PRECOND: 1>), ('stack', 'ontable|1', <Location.PRECOND: 1>), ('stack', 'handempty', <Location.PRECOND: 1>), ('pick-up', 'holding|0', <Location.PRECOND: 1>), ('stack', 'on|1|0', <Location.PRECOND: 1>), ('stack', 'holding|1', <Location.PRECOND: 1>), ('stack', 'clear|1', <Location.PRECOND: 1>)}",(0) set(),"(1.0) {('put-down', 'clear|0', <Location.PRECOND: 1>)}",4,"(3) {'stack', 'put-down', 'pick-up'}","(4) {<Action 'put-down' at 0x7fe20d787208>, <Action 'pick-up' at 0x7fe20d787da0>, <Action 'stack' at 0x7fe20d787908>, <Action 'unstack' at 0x7fe20d787be0>}",(1) {'stack'},"(1.0) {('put-down', 'clear|0', <Location.PRECOND: 1>)}",0.9423076923076923,0.9807692307692307,48,10,1
