init_domain,#TotalPALs,(#)InitPALsIncorrect,(#)PAsDropped,(#)PALsDropped_noObs,(#)FinalAvgPALsIncorrect,#TotalActions,(#)InitActionsIncorrect,(#)ActionsObserved,(#)CompleteActionsDropped,(#)FinalActionsIncorrect,InitAccuracy,FinalAccuracy,#UniqueQueriesAIA,Final#UniqueQueries,#ValidModels
domain_1_0,20,"(1) {('drop', 'carry|0|2', <Location.PRECOND: 1>)}","(7) {('move', 'at_robby|0', <Location.PRECOND: 1>), ('drop', 'carry|0|2', <Location.PRECOND: 1>), ('move', 'at_robby|1', <Location.PRECOND: 1>), ('drop', 'at_robby|1', <Location.EFFECTS: 2>), ('drop', 'at|0|1', <Location.PRECOND: 1>), ('drop', 'at_robby|1', <Location.PRECOND: 1>), ('drop', 'free|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'drop'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}","(2) {'drop', 'move'}",(0.0) set(),0.95,1.0,17,6,1
domain_1_1,20,"(1) {('pick', 'carry|0|2', <Location.EFFECTS: 2>)}","(1) {('pick', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'pick'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),(0.0) set(),0.95,1.0,17,1,1
domain_1_2,20,"(1) {('pick', 'at_robby|1', <Location.EFFECTS: 2>)}","(1) {('pick', 'at_robby|1', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'pick'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),(0.0) set(),0.95,1.0,17,1,1
domain_1_3,20,"(1) {('pick', 'at|0|1', <Location.EFFECTS: 2>)}","(1) {('pick', 'at|0|1', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'pick'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),(0.0) set(),0.95,1.0,17,1,1
domain_1_4,20,"(1) {('pick', 'carry|0|2', <Location.EFFECTS: 2>)}","(1) {('pick', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'pick'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),(0.0) set(),0.95,1.0,17,1,1
domain_1_5,20,"(1) {('drop', 'carry|0|2', <Location.EFFECTS: 2>)}","(1) {('drop', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'drop'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),(0.0) set(),0.95,1.0,17,1,1
domain_2_0,20,"(2) {('pick', 'free|2', <Location.EFFECTS: 2>), ('move', 'at_robby|1', <Location.PRECOND: 1>)}","(2) {('pick', 'free|2', <Location.PRECOND: 1>), ('move', 'at_robby|1', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,"(2) {'move', 'pick'}","(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),(0.0) set(),0.9,1.0,17,2,1
domain_2_1,20,"(2) {('pick', 'free|2', <Location.PRECOND: 1>), ('pick', 'free|2', <Location.EFFECTS: 2>)}","(5) {('pick', 'free|2', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at|0|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.EFFECTS: 2>), ('pick', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'pick'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(1) {'pick'},(0.0) set(),0.9,1.0,17,4,1
domain_2_2,20,"(2) {('pick', 'at|0|1', <Location.PRECOND: 1>), ('pick', 'at|0|1', <Location.EFFECTS: 2>)}","(7) {('move', 'at_robby|0', <Location.PRECOND: 1>), ('pick', 'free|2', <Location.PRECOND: 1>), ('move', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at|0|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.EFFECTS: 2>), ('pick', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'pick'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}","(2) {'move', 'pick'}",(0.0) set(),0.9,1.0,17,6,1
domain_2_3,20,"(2) {('pick', 'free|2', <Location.EFFECTS: 2>), ('pick', 'at_robby|1', <Location.EFFECTS: 2>)}","(5) {('pick', 'free|2', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at|0|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.EFFECTS: 2>), ('pick', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,(1) {'pick'},"(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(1) {'pick'},(0.0) set(),0.9,1.0,17,4,1
domain_2_4,20,"(2) {('drop', 'at_robby|1', <Location.EFFECTS: 2>), ('pick', 'at_robby|1', <Location.EFFECTS: 2>)}","(2) {('drop', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,"(2) {'drop', 'pick'}","(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),(0.0) set(),0.9,1.0,17,2,1
domain_2_5,20,"(2) {('move', 'at_robby|1', <Location.EFFECTS: 2>), ('pick', 'at|0|1', <Location.PRECOND: 1>)}","(6) {('pick', 'free|2', <Location.PRECOND: 1>), ('move', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at|0|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.EFFECTS: 2>), ('pick', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,"(2) {'move', 'pick'}","(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(1) {'pick'},(0.0) set(),0.9,1.0,17,5,1
domain_3_0,20,"(3) {('drop', 'free|2', <Location.PRECOND: 1>), ('move', 'at_robby|1', <Location.EFFECTS: 2>), ('pick', 'at_robby|1', <Location.PRECOND: 1>)}","(7) {('pick', 'free|2', <Location.PRECOND: 1>), ('move', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.PRECOND: 1>), ('pick', 'at|0|1', <Location.PRECOND: 1>), ('pick', 'at_robby|1', <Location.EFFECTS: 2>), ('drop', 'free|2', <Location.PRECOND: 1>), ('pick', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,"(3) {'drop', 'move', 'pick'}","(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(1) {'pick'},(0.0) set(),0.85,1.0,17,6,1
domain_3_1,20,"(3) {('drop', 'free|2', <Location.PRECOND: 1>), ('drop', 'carry|0|2', <Location.EFFECTS: 2>), ('pick', 'carry|0|2', <Location.PRECOND: 1>)}","(3) {('drop', 'free|2', <Location.PRECOND: 1>), ('drop', 'carry|0|2', <Location.PRECOND: 1>), ('pick', 'carry|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),3,"(2) {'drop', 'pick'}","(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),(0.0) set(),0.85,1.0,17,3,1
domain_3_2,20,"(3) {('drop', 'at_robby|1', <Location.PRECOND: 1>), ('drop', 'free|2', <Location.EFFECTS: 2>), ('move', 'at_robby|1', <Location.EFFECTS: 2>)}","(2) {('drop', 'free|2', <Location.PRECOND: 1>), ('move', 'at_robby|1', <Location.PRECOND: 1>)}",(0) set(),"(1.0) {('drop', 'at_robby|1', <Location.PRECOND: 1>)}",3,"(2) {'drop', 'move'}","(3) {<Action 'move' at 0x7f1f1d883a20>, <Action 'drop' at 0x7f1f1db47048>, <Action 'pick' at 0x7f1f1d883470>}",(0) set(),"(1.0) {('drop', 'at_robby|1', <Location.PRECOND: 1>)}",0.85,0.95,17,2,1
