init_domain,#TotalPALs,(#)InitPALsIncorrect,(#)PAsDropped,(#)PALsDropped_noObs,(#)FinalAvgPALsIncorrect,#TotalActions,(#)InitActionsIncorrect,(#)ActionsObserved,(#)CompleteActionsDropped,(#)FinalActionsIncorrect,InitAccuracy,FinalAccuracy,#UniqueQueriesAIA,Final#UniqueQueries,#ValidModels
domain_1_0,36,"(1) {('board', 'destin|1|0', <Location.EFFECTS: 2>)}",(0) set(),(0) set(),"(1.0) {('board', 'destin|1|0', <Location.EFFECTS: 2>)}",4,(1) {'board'},"(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(1.0) {('board', 'destin|1|0', <Location.EFFECTS: 2>)}",0.9722222222222222,0.9722222222222222,30,0,1
domain_1_1,36,"(1) {('depart', 'origin|1|0', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(1.0) {('depart', 'origin|1|0', <Location.PRECOND: 1>)}",4,(1) {'depart'},"(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(1.0) {('depart', 'origin|1|0', <Location.PRECOND: 1>)}",0.9722222222222222,0.9722222222222222,30,0,1
domain_1_2,36,"(1) {('up', 'above|1|0', <Location.EFFECTS: 2>)}","(1) {('up', 'above|1|0', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,(1) {'up'},"(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),(0.0) set(),0.9722222222222222,1.0,30,1,1
domain_1_3,36,"(1) {('depart', 'boarded|1', <Location.EFFECTS: 2>)}","(1) {('depart', 'boarded|1', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,(1) {'depart'},"(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),(0.0) set(),0.9722222222222222,1.0,30,1,1
domain_1_4,36,"(1) {('board', 'served|1', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(1.0) {('board', 'served|1', <Location.PRECOND: 1>)}",4,(1) {'board'},"(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(1.0) {('board', 'served|1', <Location.PRECOND: 1>)}",0.9722222222222222,0.9722222222222222,30,0,1
domain_1_5,36,"(1) {('depart', 'boarded|1', <Location.EFFECTS: 2>)}","(1) {('depart', 'boarded|1', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,(1) {'depart'},"(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),(0.0) set(),0.9722222222222222,1.0,30,1,1
domain_2_0,36,"(2) {('depart', 'boarded|1', <Location.PRECOND: 1>), ('depart', 'destin|1|0', <Location.EFFECTS: 2>)}","(1) {('depart', 'destin|1|0', <Location.PRECOND: 1>)}",(0) set(),"(1.0) {('depart', 'boarded|1', <Location.PRECOND: 1>)}",4,(1) {'depart'},"(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(1.0) {('depart', 'boarded|1', <Location.PRECOND: 1>)}",0.9444444444444444,0.9722222222222222,30,1,1
domain_2_1,36,"(2) {('depart', 'boarded|1', <Location.EFFECTS: 2>), ('down', 'above|1|0', <Location.EFFECTS: 2>)}","(1) {('depart', 'boarded|1', <Location.PRECOND: 1>)}",(0) set(),"(1.0) {('down', 'above|1|0', <Location.EFFECTS: 2>)}",4,"(2) {'depart', 'down'}","(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(1.0) {('down', 'above|1|0', <Location.EFFECTS: 2>)}",0.9444444444444444,0.9722222222222222,30,1,1
domain_2_2,36,"(2) {('depart', 'boarded|1', <Location.PRECOND: 1>), ('depart', 'destin|1|0', <Location.EFFECTS: 2>)}","(1) {('depart', 'destin|1|0', <Location.PRECOND: 1>)}",(0) set(),"(1.0) {('depart', 'boarded|1', <Location.PRECOND: 1>)}",4,(1) {'depart'},"(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(1.0) {('depart', 'boarded|1', <Location.PRECOND: 1>)}",0.9444444444444444,0.9722222222222222,30,1,1
domain_2_3,36,"(2) {('board', 'lift_at|0', <Location.EFFECTS: 2>), ('depart', 'served|1', <Location.EFFECTS: 2>)}","(2) {('depart', 'served|1', <Location.PRECOND: 1>), ('board', 'lift_at|0', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,"(2) {'depart', 'board'}","(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),(0.0) set(),0.9444444444444444,1.0,30,2,1
domain_2_4,36,"(2) {('depart', 'destin|1|0', <Location.PRECOND: 1>), ('down', 'lift_at|1', <Location.EFFECTS: 2>)}","(1) {('down', 'lift_at|1', <Location.PRECOND: 1>)}",(0) set(),"(1.0) {('depart', 'destin|1|0', <Location.PRECOND: 1>)}",4,"(2) {'depart', 'down'}","(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(1.0) {('depart', 'destin|1|0', <Location.PRECOND: 1>)}",0.9444444444444444,0.9722222222222222,30,1,1
domain_2_5,36,"(2) {('depart', 'boarded|1', <Location.PRECOND: 1>), ('down', 'lift_at|0', <Location.PRECOND: 1>)}","(23) {('depart', 'destin|1|0', <Location.PRECOND: 1>), ('depart', 'boarded|1', <Location.PRECOND: 1>), ('board', 'origin|1|0', <Location.EFFECTS: 2>), ('depart', 'lift_at|0', <Location.PRECOND: 1>), ('down', 'above|0|1', <Location.PRECOND: 1>), ('depart', 'lift_at|0', <Location.EFFECTS: 2>), ('down', 'above|1|0', <Location.EFFECTS: 2>), ('board', 'lift_at|0', <Location.EFFECTS: 2>), ('down', 'above|0|1', <Location.EFFECTS: 2>), ('down', 'above|1|0', <Location.PRECOND: 1>), ('board', 'destin|1|0', <Location.PRECOND: 1>), ('board', 'boarded|1', <Location.PRECOND: 1>), ('board', 'lift_at|0', <Location.PRECOND: 1>), ('board', 'destin|1|0', <Location.EFFECTS: 2>), ('depart', 'origin|1|0', <Location.EFFECTS: 2>), ('down', 'lift_at|1', <Location.PRECOND: 1>), ('board', 'served|1', <Location.EFFECTS: 2>), ('depart', 'origin|1|0', <Location.PRECOND: 1>), ('board', 'served|1', <Location.PRECOND: 1>), ('depart', 'served|1', <Location.PRECOND: 1>), ('down', 'lift_at|0', <Location.PRECOND: 1>), ('depart', 'destin|1|0', <Location.EFFECTS: 2>), ('board', 'origin|1|0', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,"(2) {'depart', 'down'}","(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}","(3) {'depart', 'board', 'down'}",(0.0) set(),0.9444444444444444,1.0,30,14,1
domain_3_0,36,"(3) {('down', 'above|0|1', <Location.EFFECTS: 2>), ('up', 'lift_at|0', <Location.PRECOND: 1>), ('depart', 'served|1', <Location.PRECOND: 1>)}","(1) {('down', 'above|0|1', <Location.PRECOND: 1>)}",(0) set(),"(2.0) {('up', 'lift_at|0', <Location.PRECOND: 1>), ('depart', 'served|1', <Location.PRECOND: 1>)}",4,"(3) {'depart', 'down', 'up'}","(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(2.0) {('up', 'lift_at|0', <Location.PRECOND: 1>), ('depart', 'served|1', <Location.PRECOND: 1>)}",0.9166666666666666,0.9444444444444444,30,1,1
domain_3_1,36,"(3) {('board', 'lift_at|0', <Location.EFFECTS: 2>), ('up', 'above|1|0', <Location.PRECOND: 1>), ('down', 'lift_at|1', <Location.PRECOND: 1>)}","(1) {('board', 'lift_at|0', <Location.PRECOND: 1>)}",(0) set(),"(2.0) {('up', 'above|1|0', <Location.PRECOND: 1>), ('down', 'lift_at|1', <Location.PRECOND: 1>)}",4,"(3) {'board', 'down', 'up'}","(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(2.0) {('up', 'above|1|0', <Location.PRECOND: 1>), ('down', 'lift_at|1', <Location.PRECOND: 1>)}",0.9166666666666666,0.9444444444444444,30,1,1
domain_3_2,36,"(3) {('down', 'lift_at|1', <Location.EFFECTS: 2>), ('depart', 'served|1', <Location.EFFECTS: 2>), ('up', 'lift_at|1', <Location.EFFECTS: 2>)}","(3) {('up', 'lift_at|1', <Location.PRECOND: 1>), ('depart', 'served|1', <Location.PRECOND: 1>), ('down', 'lift_at|1', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),4,"(3) {'depart', 'down', 'up'}","(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),(0.0) set(),0.9166666666666666,1.0,30,3,1
domain_3_3,36,"(3) {('down', 'lift_at|0', <Location.PRECOND: 1>), ('depart', 'origin|1|0', <Location.EFFECTS: 2>), ('board', 'served|1', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(3.0) {('down', 'lift_at|0', <Location.PRECOND: 1>), ('depart', 'origin|1|0', <Location.EFFECTS: 2>), ('board', 'served|1', <Location.PRECOND: 1>)}",4,"(3) {'depart', 'board', 'down'}","(4) {<Action 'depart' at 0x7fcbba819c18>, <Action 'up' at 0x7fcbba8194a8>, <Action 'down' at 0x7fcbbaa94fd0>, <Action 'board' at 0x7fcbba819550>}",(0) set(),"(3.0) {('down', 'lift_at|0', <Location.PRECOND: 1>), ('depart', 'origin|1|0', <Location.EFFECTS: 2>), ('board', 'served|1', <Location.PRECOND: 1>)}",0.9166666666666666,0.9166666666666666,30,0,1
