init_domain,#TotalPALs,(#)InitPALsIncorrect,(#)PAsDropped,(#)PALsDropped_noObs,(#)FinalAvgPALsIncorrect,#TotalActions,(#)InitActionsIncorrect,(#)ActionsObserved,(#)CompleteActionsDropped,(#)FinalActionsIncorrect,InitAccuracy,FinalAccuracy,#UniqueQueriesAIA,Final#UniqueQueries,#ValidModels
domain_1_0,50,"(1) {('switch_off', 'calibrated|0', <Location.EFFECTS: 2>)}",(0) set(),(0) set(),"(1.0) {('switch_off', 'calibrated|0', <Location.EFFECTS: 2>)}",5,(1) {'switch_off'},"(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}",(0) set(),"(1.0) {('switch_off', 'calibrated|0', <Location.EFFECTS: 2>)}",0.98,0.98,41,0,1
domain_1_1,50,"(1) {('calibrate', 'pointing|0|2', <Location.EFFECTS: 2>)}","(1) {('calibrate', 'pointing|0|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),5,(1) {'calibrate'},"(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}",(0) set(),(0.0) set(),0.98,1.0,41,1,1
domain_1_2,50,"(1) {('switch_off', 'power_avail|1', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(1.0) {('switch_off', 'power_avail|1', <Location.PRECOND: 1>)}",5,(1) {'switch_off'},"(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}",(0) set(),"(1.0) {('switch_off', 'power_avail|1', <Location.PRECOND: 1>)}",0.98,0.98,41,0,1
domain_1_3,50,"(1) {('take_image', 'pointing|0|1', <Location.PRECOND: 1>)}","(19) {('take_image', 'on_board|2|0', <Location.EFFECTS: 2>), ('take_image', 'power_avail|0', <Location.EFFECTS: 2>), ('take_image', 'calibration_target|2|1', <Location.PRECOND: 1>), ('take_image', 'pointing|0|1', <Location.PRECOND: 1>), ('take_image', 'supports|2|3', <Location.PRECOND: 1>), ('take_image', 'power_on|2', <Location.PRECOND: 1>), ('take_image', 'have_image|1|3', <Location.PRECOND: 1>), ('take_image', 'calibration_target|2|1', <Location.EFFECTS: 2>), ('take_image', 'calibrated|2', <Location.PRECOND: 1>), ('take_image', 'supports|2|3', <Location.EFFECTS: 2>), ('turn_to', 'power_avail|0', <Location.PRECOND: 1>), ('take_image', 'power_on|2', <Location.EFFECTS: 2>), ('take_image', 'on_board|2|0', <Location.PRECOND: 1>), ('take_image', 'power_avail|0', <Location.PRECOND: 1>), ('turn_to', 'power_avail|0', <Location.EFFECTS: 2>), ('turn_to', 'pointing|0|2', <Location.PRECOND: 1>), ('turn_to', 'pointing|0|1', <Location.PRECOND: 1>), ('take_image', 'pointing|0|1', <Location.EFFECTS: 2>), ('take_image', 'calibrated|2', <Location.EFFECTS: 2>)}",(0) set(),(0.0) set(),5,(1) {'take_image'},"(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}","(2) {'take_image', 'turn_to'}",(0.0) set(),0.98,1.0,41,11,1
domain_1_4,50,"(1) {('take_image', 'supports|2|3', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(1.0) {('take_image', 'supports|2|3', <Location.PRECOND: 1>)}",5,(1) {'take_image'},"(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}",(0) set(),"(1.0) {('take_image', 'supports|2|3', <Location.PRECOND: 1>)}",0.98,0.98,41,0,1
domain_1_5,50,"(1) {('switch_on', 'on_board|0|1', <Location.PRECOND: 1>)}",(0) set(),(0) set(),"(1.0) {('switch_on', 'on_board|0|1', <Location.PRECOND: 1>)}",5,(1) {'switch_on'},"(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}",(0) set(),"(1.0) {('switch_on', 'on_board|0|1', <Location.PRECOND: 1>)}",0.98,0.98,41,0,1
domain_3_0,50,"(3) {('switch_on', 'power_on|0', <Location.EFFECTS: 2>), ('take_image', 'power_avail|0', <Location.EFFECTS: 2>), ('calibrate', 'calibrated|1', <Location.PRECOND: 1>)}","(20) {('take_image', 'on_board|2|0', <Location.EFFECTS: 2>), ('take_image', 'power_avail|0', <Location.EFFECTS: 2>), ('take_image', 'pointing|0|1', <Location.PRECOND: 1>), ('take_image', 'calibration_target|2|1', <Location.PRECOND: 1>), ('take_image', 'supports|2|3', <Location.PRECOND: 1>), ('take_image', 'power_on|2', <Location.PRECOND: 1>), ('take_image', 'have_image|1|3', <Location.PRECOND: 1>), ('take_image', 'calibration_target|2|1', <Location.EFFECTS: 2>), ('take_image', 'calibrated|2', <Location.PRECOND: 1>), ('take_image', 'supports|2|3', <Location.EFFECTS: 2>), ('turn_to', 'power_avail|0', <Location.PRECOND: 1>), ('take_image', 'power_on|2', <Location.EFFECTS: 2>), ('take_image', 'on_board|2|0', <Location.PRECOND: 1>), ('switch_on', 'power_on|0', <Location.PRECOND: 1>), ('take_image', 'power_avail|0', <Location.PRECOND: 1>), ('turn_to', 'power_avail|0', <Location.EFFECTS: 2>), ('turn_to', 'pointing|0|2', <Location.PRECOND: 1>), ('turn_to', 'pointing|0|1', <Location.PRECOND: 1>), ('take_image', 'pointing|0|1', <Location.EFFECTS: 2>), ('take_image', 'calibrated|2', <Location.EFFECTS: 2>)}",(0) set(),"(1.0) {('calibrate', 'calibrated|1', <Location.PRECOND: 1>)}",5,"(3) {'switch_on', 'take_image', 'calibrate'}","(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}","(2) {'take_image', 'turn_to'}","(1.0) {('calibrate', 'calibrated|1', <Location.PRECOND: 1>)}",0.94,0.98,41,12,1
domain_3_1,50,"(3) {('take_image', 'calibrated|2', <Location.EFFECTS: 2>), ('turn_to', 'pointing|0|2', <Location.PRECOND: 1>), ('turn_to', 'power_avail|0', <Location.PRECOND: 1>)}","(1) {('take_image', 'calibrated|2', <Location.PRECOND: 1>)}",(0) set(),"(2.0) {('turn_to', 'pointing|0|2', <Location.PRECOND: 1>), ('turn_to', 'power_avail|0', <Location.PRECOND: 1>)}",5,"(2) {'take_image', 'turn_to'}","(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}",(0) set(),"(1.0) {('turn_to', 'pointing|0|2', <Location.PRECOND: 1>), ('turn_to', 'power_avail|0', <Location.PRECOND: 1>)}",0.94,0.96,41,1,1
domain_3_2,50,"(3) {('take_image', 'on_board|2|0', <Location.EFFECTS: 2>), ('take_image', 'have_image|1|3', <Location.EFFECTS: 2>), ('take_image', 'power_on|2', <Location.PRECOND: 1>)}","(3) {('take_image', 'on_board|2|0', <Location.PRECOND: 1>), ('take_image', 'have_image|1|3', <Location.PRECOND: 1>), ('take_image', 'power_on|2', <Location.PRECOND: 1>)}",(0) set(),(0.0) set(),5,(1) {'take_image'},"(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}",(0) set(),(0.0) set(),0.94,1.0,41,3,1
domain_3_3,50,"(3) {('switch_off', 'power_avail|1', <Location.EFFECTS: 2>), ('switch_off', 'on_board|0|1', <Location.PRECOND: 1>), ('take_image', 'calibration_target|2|1', <Location.PRECOND: 1>)}","(2) {('switch_off', 'on_board|0|1', <Location.PRECOND: 1>), ('switch_off', 'power_avail|1', <Location.PRECOND: 1>)}",(0) set(),"(1.0) {('take_image', 'calibration_target|2|1', <Location.PRECOND: 1>)}",5,"(2) {'switch_off', 'take_image'}","(5) {<Action 'switch_off' at 0x7fdd8b70a208>, <Action 'calibrate' at 0x7fdd905abb00>, <Action 'turn_to' at 0x7fdd8b70a4a8>, <Action 'switch_on' at 0x7fdd8b70a6d8>, <Action 'take_image' at 0x7fdd905ab4e0>}",(0) set(),"(1.0) {('take_image', 'calibration_target|2|1', <Location.PRECOND: 1>)}",0.94,0.98,41,2,1
